id,question,answer
1,Est-ce que le service est légal ?,"Oui. Nous utilisons des abonnements officiels et premium souscrits auprès des plateformes de streaming.
Les utilisateurs rejoignent des groupes existants via les fonctionnalités de partage prévues par les services, ce qui permet de réduire le coût de l’abonnement tout en restant dans un cadre légitime."
12,Quels moyens de paiement acceptez-vous ?,"Nous acceptons actuellement : MTN Mobile Money et Orange Money. Les paiements sont rapides et sécurisés.

Si vous êtes hors du Cameroun contactez-nous directement pour avoir d'autres moyens de paiement."
13,Dois-je utiliser un VPN ?,"Non. La majorité des services fonctionnent directement sans VPN.

Dans certains cas particuliers, un VPN peut être recommandé selon la plateforme."
14,Que se passe-t-il lorsque mon abonnement expire ?,"Votre abonnement reste actif pendant la durée choisie.

Une fois expiré, vous pouvez le renouveler facilement depuis votre tableau de bord ou via notre support."
4,Comment recevoir mes accès après paiement ?,"Une fois votre paiement confirmé, vos identifiants sont disponibles dans votre tableau de bord sur le site.

Vous recevez également une notification sur WhatsApp pour vous informer que votre abonnement est prêt."
5,Combien de temps prend l’activation de l’abonnement ?,"L’activation est généralement instantanée ou effectuée dans un délai de 5 à 30 minutes après confirmation du paiement.

Dans de rares cas, cela peut prendre jusqu’à 24 heures maximum."
6,Puis-je avoir mon propre profil ?,"Oui. Vous disposez de votre propre profil personnel, souvent sécurisé par un code PIN.

Votre historique, vos favoris et vos recommandations restent entièrement personnels."
7,Puis-je utiliser mon abonnement sur plusieurs appareils ?,"Oui. Vous pouvez utiliser votre profil sur :
Smartphone; Tablette; Ordinateur; Smart et Android TV; TV Box; etc...

Le nombre de connexions simultanées dépend toutefois des règles de chaque plateforme."
8,Les comptes sont-ils sécurisés ?,"Oui. Tous les comptes proposés sont premium, sécurisés et testés avant activation.

Chaque utilisateur dispose d’un profil individuel, garantissant une utilisation stable et personnelle."
9,Que se passe-t-il si j’ai un problème d’accès ?,"Notre support client est disponible 7j/7 sur WhatsApp.

Si un problème survient, notre équipe vous assiste rapidement.

En cas de blocage d’un compte (très rare), nous procédons au remplacement gratuit pendant votre abonnement."
10,Puis-je modifier le mot de passe du compte ?,"Non. Pour garantir le bon fonctionnement du service, la modification du mot de passe ou des paramètres des comptes d'abonnement partagé est interdite.

Néanmoins, si vous avez un abonnement personnel vous pouvez modifier à votre guise."
11,Puis-je partager mes accès avec d’autres personnes ?,"Non. Les accès fournis pour les abonnements partagés sont strictement personnels. Le partage des identifiants peut entraîner la suspension du service sans remboursement.

Mais si vous avez un abonnement personnel oui c'est possible sans problème."
2,Quelle est la différence entre un compte personnel et un compte partagé ?,"Chez Stream Partner, nous proposons deux types d’accès selon la plateforme.

COMPTE PERSONNEL : Nous créons un compte entièrement dédié à vous seul avec vos propres informations (Email et Mot de passe) que vous pouvez utiliser, configurer et partager librement.

COMPTE PARTAGE : Vous utilisez un profil individuel dans un abonnement premium partagé avec d’autres utilisateurs, ce qui permet de réduire considérablement le coût."
3,Quelles plateformes proposent des comptes personnels ?,"Les comptes personnels sont disponibles uniquement sur :
Netflix; Prime Video; Spotify; Crunchyroll; Apple music; Onoff

Pour les comptes partagés ils sont disponibles sur toutes les plateformes que nous proposons."
